miRNA,Target gene
hsa-miR-1-3p,FZD7
hsa-miR-1-3p,AGO1
hsa-miR-1-3p,TKT
hsa-miR-1-3p,PGD
hsa-miR-1-3p,TH
hsa-miR-1-3p,MPL
hsa-miR-1-3p,API5
hsa-miR-1-3p,SPRED1
hsa-miR-1-3p,ASPH
hsa-miR-143-5p,COX2
hsa-miR-147b,ALDH5A1
hsa-miR-147b,MCM3
hsa-miR-147b,NDUFA4
hsa-miR-147b,COL4A2
hsa-miR-147b,IER5
hsa-miR-147b,SDHD
hsa-miR-148b-5p,MCL1
hsa-miR-152-3p,DNMT1
hsa-miR-152-3p,HLA-G
hsa-miR-152-3p,IRS1
hsa-miR-152-3p,IGF1R
hsa-miR-152-3p,TGFA
hsa-miR-152-3p,ITGA5
hsa-miR-152-3p,CSF1
hsa-miR-152-3p,CCKBR
hsa-miR-152-3p,KRAS
hsa-miR-152-3p,CD151
hsa-miR-152-3p,WNT1
hsa-miR-152-3p,ADAM17
hsa-miR-152-3p,KLF4
hsa-miR-152-3p,FGF2
hsa-miR-152-3p,FGFR3
hsa-miR-152-3p,TACC3
hsa-miR-152-3p,MAFB
hsa-miR-152-3p,CCND1
hsa-miR-153-3p,MCL1
hsa-miR-153-3p,BCL2
hsa-miR-153-3p,SNCA
hsa-miR-153-3p,FOXO1
hsa-miR-153-3p,PPM1D
hsa-miR-153-3p,SNAI1
hsa-miR-153-3p,ZEB2
hsa-miR-153-3p,NFE2L2
hsa-miR-153-3p,PTEN
hsa-miR-155-3p,IRAK3
hsa-miR-155-3p,PTEN
hsa-miR-181d-5p,BCL2
hsa-miR-181d-5p,HRAS
hsa-miR-181d-5p,MGMT
hsa-miR-181d-5p,RAP1B
hsa-miR-1826,MAP2K1
hsa-miR-1826,CTNNB1
hsa-miR-1826,VEGFC
hsa-miR-1908-5p,APOE
hsa-miR-1908-5p,DNAJA4
hsa-miR-190a-5p,CDKN1B
hsa-miR-190a-5p,PHLPP1
hsa-miR-190a-5p,KCNQ5
hsa-miR-190a-5p,IGF1
hsa-miR-190a-5p,MARK2
hsa-miR-203a-3p,ABL1
hsa-miR-203a-3p,TP63
hsa-miR-203a-3p,ABCE1
hsa-miR-203a-3p,CDK6
hsa-miR-203a-3p,SOCS3
hsa-miR-203a-3p,BCL2L2
hsa-miR-203a-3p,PPM1D
hsa-miR-203a-3p,GDAP1
hsa-miR-203a-3p,EDNRA
hsa-miR-203a-3p,EYA4
hsa-miR-203a-3p,ZEB2
hsa-miR-203a-3p,BMI1
hsa-miR-203a-3p,RUNX2
hsa-miR-203a-3p,SMAD4
hsa-miR-203a-3p,E2F1
hsa-miR-203a-3p,MMP10
hsa-miR-203a-3p,DLX5
hsa-miR-203a-3p,AKT2
hsa-miR-203a-3p,BIRC5
hsa-miR-203a-3p,E2F3
hsa-miR-203a-3p,ZNF148
hsa-miR-203a-3p,CREB1
hsa-miR-203a-3p,TJP2
hsa-miR-203a-3p,SOCS6
hsa-miR-203a-3p,TNF
hsa-miR-203a-3p,IL24
hsa-miR-203a-3p,SNAI2
hsa-miR-203a-3p,CBLL1
hsa-miR-203a-3p,MYD88
hsa-miR-203a-3p,LIFR
hsa-miR-203a-3p,LASP1
hsa-miR-203a-3p,JUN
hsa-miR-203a-3p,VEGFA
hsa-miR-203a-3p,ASAP1
hsa-miR-203a-3p,CAV1
hsa-miR-203a-3p,UVRAG
hsa-miR-203a-3p,SRC
hsa-miR-203a-3p,RAN
hsa-miR-203a-3p,RAPH1
hsa-miR-203a-3p,CASK
hsa-miR-203a-3p,PLD2
hsa-miR-203a-3p,KIF5B
hsa-miR-203a-3p,KIF2A
hsa-miR-203a-3p,ATM
hsa-miR-203a-3p,PIK3CA
hsa-miR-203a-3p,SNAI1
hsa-miR-203a-3p,IFIT1
hsa-miR-208a-3p,MED13
hsa-miR-208a-3p,CDKN1A
hsa-miR-208a-3p,ETS1
hsa-miR-208a-3p,SOX6
hsa-miR-208b-3p,CDKN1A
hsa-miR-210-3p,FGFRL1
hsa-miR-210-3p,RAD52
hsa-miR-210-3p,MRE11A
hsa-miR-210-3p,XPA
hsa-miR-210-3p,EFNA3
